Energy(eV)	cross section (m-2)					
	(1) E + AR > E + AR	(2)  E + AR > AR* + E	(3) E + AR > AR* + E	(4) E + AR > AR^ + E + E	(5) E + AR* > AR^ + E + E	(6)  E + AR* > AR + E
5.500000E-06	9.996980E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.740160E-21
5.600000E-06	9.996920E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.739580E-21
5.700000E-06	9.996860E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.739010E-21
5.800000E-06	9.996810E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.738440E-21
5.900000E-06	9.996750E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.737870E-21
6.000000E-06	9.996700E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.737300E-21
6.100000E-06	9.996640E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.736730E-21
6.200000E-06	9.996590E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.736710E-21
6.300000E-06	9.996530E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.736140E-21
6.400000E-06	9.996480E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.735570E-21
6.500000E-06	9.996430E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.735000E-21
6.600000E-06	9.996370E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.734430E-21
6.700000E-06	9.996320E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.733860E-21
6.800000E-06	9.996260E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.733290E-21
6.900000E-06	9.996210E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.732720E-21
7.000000E-06	9.996150E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.732150E-21
7.100000E-06	9.996100E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.731580E-21
7.200000E-06	9.996040E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.731560E-21
7.300000E-06	9.995990E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.730990E-21
7.400000E-06	9.995930E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.730420E-21
7.500000E-06	9.995870E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.729850E-21
7.600000E-06	9.995820E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.729290E-21
7.700000E-06	9.995760E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.728720E-21
