Time x_Exact v_Exact v_Exact_half x_FD v_FD x_LF v_LF
1.48926 -0.296151 -1.20027 -1.20583 -0.304195 -1.23543 -0.296221 -1.20581
1.51367 -0.32531 -1.18829 -1.19442 -0.334357 -1.2237 -0.325381 -1.19439
1.53809 -0.354164 -1.17519 -1.18187 -0.364232 -1.21081 -0.354234 -1.18184
1.5625 -0.382683 -1.16098 -1.16822 -0.393793 -1.19677 -0.382755 -1.16819
1.58691 -0.410843 -1.14568 -1.15347 -0.423011 -1.18159 -0.410914 -1.15343
1.61133 -0.438616 -1.12931 -1.13763 -0.451859 -1.16528 -0.438688 -1.13759
1.63574 -0.465976 -1.11187 -1.12072 -0.480308 -1.14786 -0.466048 -1.12067
1.66016 -0.492898 -1.09338 -1.10276 -0.508332 -1.12934 -0.492969 -1.10271
1.68457 -0.519356 -1.07387 -1.08375 -0.535903 -1.10974 -0.519427 -1.0837
1.70898 -0.545325 -1.05334 -1.06373 -0.562997 -1.08908 -0.545396 -1.06368
1.7334 -0.570781 -1.03183 -1.04271 -0.589586 -1.06738 -0.570851 -1.04265
1.75781 -0.595699 -1.00934 -1.0207 -0.615645 -1.04465 -0.595769 -1.02064
1.78223 -0.620057 -0.985903 -0.997739 -0.641149 -1.02091 -0.620126 -0.997672
1.80664 -0.643832 -0.961538 -0.973835 -0.666073 -0.996194 -0.6439 -0.973765
1.83105 -0.667 -0.936267 -0.949014 -0.690395 -0.970514 -0.667067 -0.94894
1.85547 -0.689541 -0.910116 -0.9233 -0.714089 -0.943898 -0.689607 -0.923223
1.87988 -0.711432 -0.883108 -0.896717 -0.737133 -0.916367 -0.711497 -0.896636
1.9043 -0.732654 -0.855268 -0.86929 -0.759505 -0.887948 -0.732718 -0.869206
1.92871 -0.753187 -0.826624 -0.841045 -0.781184 -0.858667 -0.753249 -0.840957
1.95312 -0.77301 -0.797202 -0.812009 -0.802147 -0.82855 -0.773072 -0.811917
1.97754 -0.792107 -0.76703 -0.782208 -0.822376 -0.797625 -0.792166 -0.782113
2.00195 -0.810457 -0.736135 -0.751671 -0.841849 -0.765919 -0.810515 -0.751572
2.02637 -0.828045 -0.704548 -0.720426 -0.860548 -0.733464 -0.828101 -0.720324
2.05078 -0.844854 -0.672298 -0.688504 -0.878455 -0.700287 -0.844908 -0.688398
2.0752 -0.860867 -0.639415 -0.655933 -0.895552 -0.66642 -0.860919 -0.655825
2.09961 -0.87607 -0.60593 -0.622746 -0.911822 -0.631893 -0.87612 -0.622633
2.12402 -0.890449 -0.571875 -0.588972 -0.927249 -0.59674 -0.890496 -0.588856
2.14844 -0.903989 -0.537282 -0.554643 -0.941818 -0.560991 -0.904035 -0.554525
2.17285 -0.916679 -0.502183 -0.519793 -0.955514 -0.524681 -0.916722 -0.519671
2.19727 -0.928506 -0.466611 -0.484454 -0.968323 -0.487843 -0.928546 -0.484329
2.22168 -0.939459 -0.4306 -0.448658 -0.980234 -0.450511 -0.939497 -0.448531
2.24609 -0.949528 -0.394184 -0.412441 -0.991232 -0.41272 -0.949563 -0.41231
2.27051 -0.958703 -0.357397 -0.375835 -1.00131 -0.374505 -0.958735 -0.375701
2.29492 -0.966976 -0.320274 -0.338875 -1.01045 -0.335901 -0.967005 -0.338739
2.31934 -0.974339 -0.282849 -0.301597 -1.01865 -0.296945 -0.974365 -0.301458
2.34375 -0.980785 -0.245158 -0.264034 -1.0259 -0.257673 -0.980808 -0.263893
2.36816 -0.986308 -0.207236 -0.226223 -1.03219 -0.218121 -0.986327 -0.22608
2.39258 -0.990903 -0.169119 -0.1882 -1.03752 -0.178327 -0.990918 -0.188054
2.41699 -0.994565 -0.130843 -0.149999 -1.04187 -0.138327 -0.994577 -0.149851
